"";"date";"number of shootings"
"1031";"2018-01-25";4
"1032";"2018-01-26";4
"1033";"2018-01-27";3
"1034";"2018-01-28";4
"1035";"2018-01-29";3
"1036";"2018-01-30";1
"1037";"2018-01-31";2
"1038";"2018-02-01";8
"1039";"2018-02-02";1
"1040";"2018-02-03";3
"1041";"2018-02-04";1
"1042";"2018-02-05";2
"1043";"2018-02-06";3
"1044";"2018-02-07";1
"1045";"2018-02-08";2
"1046";"2018-02-09";3
"1047";"2018-02-10";4
"1048";"2018-02-11";2
"1049";"2018-02-12";1
"1050";"2018-02-13";3
"1051";"2018-02-14";4
"1052";"2018-02-15";3
"1053";"2018-02-16";2
"1054";"2018-02-17";4
"1055";"2018-02-18";1
"1056";"2018-02-19";2
"1057";"2018-02-21";6
"1058";"2018-02-22";2
"1059";"2018-02-23";2
"1060";"2018-02-24";1
"1061";"2018-02-25";3
"1062";"2018-02-26";5
"1063";"2018-02-27";3
"1064";"2018-02-28";2
"1065";"2018-03-01";2
"1066";"2018-03-02";5
"1067";"2018-03-03";2
